Energy Bin Center (keV_ee),Background Rate (d.r.u)
0.075,3.16
0.125,16.134
0.175,17.24
0.225,16.355
0.275,14.56
0.325,14.991
0.375,14.805
0.425,14.053
0.475,13.403
0.525,13.844
0.575,13.996
0.625,12.617
0.675,12.35
0.725,12.616
0.775,13.316
0.825,24.34
0.875,45.034
0.925,15.972
0.975,12.016
1.025,11.63
1.075,11.906
1.125,12.123
1.175,11.41
1.225,10.965
1.275,11.065
1.325,11.48
1.375,11.008
1.425,10.5
1.475,10.629
1.525,10.406
1.575,10.416
1.625,11.031
1.675,13.299
1.725,21.029
1.775,15.104
1.825,11.383
1.875,10.693
1.925,10.772
1.975,10.65
2.025,11.211
2.075,10.341
2.125,9.482
2.175,9.859
2.225,11.258
2.275,10.693
2.325,10.404
2.375,10.699
2.425,11.401
2.475,10.858
2.525,10.599
2.575,10.01
2.625,9.676
2.675,9.815
2.725,10.337
2.775,10.366
2.825,9.318
2.875,10.051
2.925,9.589
2.975,10.178
3.025,10.212
3.075,9.739
3.125,9.514
3.175,8.858
3.225,9.662
3.275,9.482
3.325,9.171
3.375,9.113
3.425,8.761
3.475,8.893
3.525,8.943
3.575,9.107
3.625,10.188
3.675,8.875
3.725,9.405
3.775,8.785
3.825,9.437
3.875,8.799
3.925,8.969
3.975,8.771
4.025,9.004
4.075,9.543
4.125,9.602
4.175,9.383
4.225,8.99
4.275,8.653
4.325,8.69
4.375,9.193
4.425,8.671
4.475,9.112
4.525,9.814
4.575,9.384
4.625,9.205
4.675,9.359
4.725,8.672
4.775,9.026
4.825,8.987
4.875,9.309
4.925,8.754
4.975,7.876
5.025,8.991
5.075,9.324
5.125,8.776
5.175,9.085
5.225,8.174
5.275,8.56
5.325,9.426
5.375,9.52
5.425,9.003
5.475,9.379
5.525,8.752
5.575,8.199
5.625,7.532
5.675,7.309
5.725,8.196
5.775,7.828
5.825,8.237
5.875,7.723
5.925,8.303
5.975,8.639
